threshold	A	u(A)
5666	1.507238	0.000368
9795	1.507203	0.000368
8690	1.507592	0.000368
8113	1.506782	0.000368
5057	1.507714	0.000368
6284	1.507523	0.000368
7823	1.506997	0.000368
5701	1.506820	0.000368
8482	1.506575	0.000368
6518	1.506710	0.000368
5989	1.507158	0.000368
8676	1.507620	0.000368
9022	1.506722	0.000368
9446	1.506972	0.000368
5438	1.507196	0.000368
9630	1.506923	0.000368
8673	1.506522	0.000368
6945	1.507525	0.000368
8658	1.507070	0.000368
5361	1.506938	0.000368
8241	1.507374	0.000368
5144	1.507151	0.000368
9955	1.507122	0.000368
8620	1.507398	0.000368
9516	1.506512	0.000368
8453	1.507262	0.000368
7831	1.506228	0.000368
7116	1.507331	0.000368
6875	1.505933	0.000368
6315	1.507647	0.000368
9459	1.506201	0.000368
8051	1.507648	0.000368
5197	1.507756	0.000368
8671	1.506644	0.000368
6840	1.507528	0.000368
5481	1.507132	0.000368
9039	1.506506	0.000368
5165	1.506869	0.000368
5018	1.507508	0.000368
6984	1.507286	0.000368
5352	1.507712	0.000368
7053	1.506857	0.000368
5151	1.507735	0.000368
8391	1.507099	0.000368
5920	1.507509	0.000368
6914	1.507412	0.000368
7541	1.507033	0.000368
6462	1.507345	0.000368
8244	1.506467	0.000368
5114	1.507070	0.000368
6188	1.507053	0.000368
8369	1.506859	0.000368
9521	1.506980	0.000368
6780	1.507620	0.000368
8663	1.506851	0.000368
9624	1.507585	0.000368
5903	1.507476	0.000368
9749	1.507049	0.000368
9419	1.506793	0.000368
7773	1.506944	0.000368
5820	1.506960	0.000368
9927	1.507313	0.000368
9522	1.507133	0.000368
6689	1.507425	0.000368
5633	1.507388	0.000368
7881	1.507546	0.000368
6236	1.507200	0.000368
8048	1.506845	0.000368
5859	1.507151	0.000368
8863	1.507392	0.000368
6973	1.507418	0.000368
5147	1.506861	0.000368
8781	1.507237	0.000368
7663	1.506786	0.000368
8247	1.506735	0.000368
8757	1.507426	0.000368
5410	1.507193	0.000368
6089	1.506720	0.000368
7806	1.506385	0.000368
9633	1.506468	0.000368
9168	1.506522	0.000368
5109	1.507668	0.000368
5600	1.506821	0.000368
9564	1.506401	0.000368
8148	1.507042	0.000368
6709	1.506857	0.000368
5596	1.507161	0.000368
7607	1.507339	0.000368
6190	1.507795	0.000368
9015	1.506903	0.000368
9309	1.506678	0.000368
9037	1.506792	0.000368
8780	1.506699	0.000368
6861	1.506898	0.000368
9145	1.507233	0.000368
7561	1.506552	0.000368
6984	1.506977	0.000368
6908	1.507240	0.000368
8165	1.506755	0.000368
5374	1.506945	0.000368
7249	1.507168	0.000368
6757	1.507475	0.000368
9940	1.507040	0.000368
8814	1.507733	0.000368
9569	1.506834	0.000368
9747	1.506717	0.000368
5174	1.507142	0.000368
9289	1.507459	0.000368
7778	1.507933	0.000368
5068	1.507281	0.000368
6411	1.507385	0.000368
9793	1.507112	0.000368
5713	1.507122	0.000368
5433	1.507484	0.000368
8981	1.506620	0.000368
9264	1.506685	0.000368
5883	1.507202	0.000368
5579	1.506864	0.000368
7693	1.507089	0.000368
5136	1.506586	0.000368
5821	1.507404	0.000368
5079	1.507336	0.000368
5261	1.507229	0.000368
7559	1.506697	0.000368
8412	1.506847	0.000368
9282	1.507407	0.000368
8094	1.507077	0.000368
7902	1.506869	0.000368
8776	1.506792	0.000368
6342	1.506414	0.000368
8866	1.506492	0.000368
6214	1.506933	0.000368
9442	1.506557	0.000368
9968	1.507000	0.000368
7088	1.507300	0.000368
8107	1.506958	0.000368
8769	1.506649	0.000368
5773	1.507603	0.000368
9490	1.506880	0.000368
